Date,PRCP,TMAX,TMIN,CfbWinner,CfbLoser,CfbTV,cfbGame,Winner/tie,Loser/tie,NflGame,psa_sales,Orders,Online%,carryout%,Rewards Enrollment,online_sales,Day,Class,BiClass
2014-08-01,0.590833333333,81.6666666667,66.6666666667,-1,-1,-1,0.0,-1,-1,0.0,4520.945238,23789,47.86491447,40.922275,548807.0,2163.9465714,4,2,1
2014-08-02,0.0109523809524,84.3333333333,66.6666666667,-1,-1,-1,0.0,-1,-1,0.0,3861.717524,20345,47.07532799,40.32440403,549375.0,1817.91619047,5,1,0
2014-08-03,0.00047619047619,88.3333333333,66.6666666667,-1,-1,-1,0.0,-1,-1,0.0,2764.286286,14971,49.42990537,39.6099125,549779.0,1366.38409533,6,0,0
2014-08-04,0.0,89.6666666667,68.3333333333,-1,-1,-1,0.0,-1,-1,0.0,2017.781333,11679,48.23592665,40.16611011,550040.0,973.295523743,0,0,0
2014-08-05,0.0,89.3333333333,67.3333333333,-1,-1,-1,0.0,-1,-1,0.0,2333.177524,14855,47.92621662,50.42073376,550426.0,1118.20371428,1,0,0
2014-08-06,0.0,91.6666666667,65.0,-1,-1,-1,0.0,-1,-1,0.0,2348.213048,13401,48.61715516,41.8700097,550799.0,1141.63438103,2,0,0
2014-08-07,0.0203703703704,94.6666666667,69.3333333333,-1,-1,-1,0.0,-1,-1,0.0,2604.384952,14569,49.48360351,40.62735946,551207.0,1288.74352352,3,0,0
2014-08-08,0.868965517241,89.0,69.6666666667,-1,-1,-1,0.0,-1,-1,0.0,4972.862857,26401,52.99404999,40.40377258,552010.0,2635.32142837,4,3,1
2014-08-09,1.50448275862,89.3333333333,69.6666666667,-1,-1,-1,0.0,-1,-1,0.0,4393.658667,24077,52.48877083,40.19603771,552816.0,2306.17742877,5,3,1
2014-08-10,0.711538461538,85.3333333333,72.0,-1,-1,-1,0.0,-1,-1,0.0,2713.882667,14969,51.88172152,40.55047097,553269.0,1408.00904767,6,0,0
2014-08-11,0.174074074074,83.3333333333,72.0,-1,-1,-1,0.0,-1,-1,0.0,1706.225429,10132,50.00935231,41.55151994,553547.0,853.272285991,0,0,0
2014-08-12,0.0811111111111,88.0,71.6666666667,-1,-1,-1,0.0,-1,-1,0.0,2117.411333,13937,50.27876132,52.3211595,553866.0,1064.60819028,1,0,0
2014-08-13,0.00346153846154,84.0,67.0,-1,-1,-1,0.0,-1,-1,0.0,2100.608762,12198,50.23541022,42.84308903,554207.0,1055.24942871,2,0,0
2014-08-14,0.0,85.3333333333,60.6666666667,-1,-1,-1,0.0,-1,-1,0.0,2489.784571,14240,49.16683937,42.66853933,554545.0,1224.14838068,3,0,0
2014-08-15,0.0,87.0,63.6666666667,-1,-1,-1,0.0,-1,-1,0.0,4475.673619,23670,50.83064591,41.79552176,555172.0,2275.01380936,4,3,1
2014-08-16,0.0,88.6666666667,64.3333333333,-1,-1,-1,0.0,-1,-1,0.0,4312.709524,23010,51.72330288,40.39113429,555811.0,2230.67580943,5,2,1
2014-08-17,0.00625,89.6666666667,66.3333333333,-1,-1,-1,0.0,-1,-1,0.0,2773.481619,15411,52.98190272,40.15313737,556275.0,1469.44333334,6,0,0
2014-08-18,0.0989285714286,89.3333333333,69.6666666667,-1,-1,-1,0.0,-1,-1,0.0,1699.900571,10149,50.20081847,41.45235984,556573.0,853.363999818,0,0,0
2014-08-19,0.232,86.6666666667,70.6666666667,-1,-1,-1,0.0,-1,-1,0.0,2200.657333,14704,53.7300327,53.16240479,556999.0,1182.41390464,1,0,0
2014-08-20,0.3,90.3333333333,70.3333333333,-1,-1,-1,0.0,-1,-1,0.0,2300.287429,13474,53.90609157,43.37242096,557464.0,1239.99504785,2,0,0
2014-08-21,0.126,92.0,68.0,-1,-1,-1,0.0,-1,-1,0.0,2376.107714,13632,50.66754028,42.5689554,557791.0,1203.91533309,3,0,0
2014-08-22,0.0,93.0,71.3333333333,-1,-1,-1,0.0,-1,-1,0.0,4616.513333,24974,53.38545746,42.64435012,558584.0,2464.54676152,4,3,1
2014-08-23,0.00807692307692,93.3333333333,72.6666666667,-1,-1,-1,0.0,-1,-1,0.0,4050.964381,21616,50.18572885,39.803849,559150.0,2033.00600006,5,2,1
2014-08-24,0.0907407407407,88.6666666667,73.3333333333,-1,-1,-1,0.0,-1,-1,0.0,2709.049524,15167,53.71219989,40.32438847,559568.0,1455.09009545,6,0,0
2014-08-25,0.0,84.3333333333,68.0,-1,-1,-1,0.0,-1,-1,0.0,1538.230476,9422,48.81736095,42.72978136,559796.0,750.923523712,0,0,0
2014-08-26,0.0,86.6666666667,64.3333333333,-1,-1,-1,0.0,-1,-1,0.0,1977.235333,13074,47.75252564,53.56432614,560097.0,944.179809354,1,0,0
2014-08-27,0.0,88.3333333333,65.0,-1,-1,-1,0.0,-1,-1,0.0,2057.462286,11860,48.53492194,42.6391231,560369.0,998.587714455,2,0,0
2014-08-28,0.0,91.6666666667,64.3333333333,69,181,25,1.0,-1,-1,0.0,2632.464857,14825,49.82654858,41.11298482,560799.0,1311.66638082,3,0,0
2014-08-28,0.0,91.6666666667,64.3333333333,65,94,10,1.0,-1,-1,0.0,2632.464857,14825,49.82654858,41.11298482,560799.0,1311.66638082,3,0,0
2014-08-28,0.0,91.6666666667,64.3333333333,93,87,29,1.0,-1,-1,0.0,2632.464857,14825,49.82654858,41.11298482,560799.0,1311.66638082,3,0,0
2014-08-29,0.0,92.6666666667,64.0,158,120,7,1.0,-1,-1,0.0,4939.604667,25515,48.55436763,40.79952969,561474.0,2398.39380948,4,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,77,182,11,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,144,92,29,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,1,145,0,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,20,23,10,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,80,165,23,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,31,17,10,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,114,160,12,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,98,111,7,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,106,125,13,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,60,151,24,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,141,137,9,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,137,126,22,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,133,159,25,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,43,113,15,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,16,99,25,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,156,177,10,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-30,0.0645454545455,89.3333333333,69.0,128,114,9,1.0,-1,-1,0.0,5266.882286,25356,45.1500123,39.30430667,562327.0,2377.99799996,5,3,1
2014-08-31,0.257407407407,89.6666666667,69.6666666667,3,162,16,1.0,-1,-1,0.0,3169.413429,16543,50.40766594,38.99534546,562905.0,1597.62733355,6,0,0
2014-09-01,0.014347826087,91.3333333333,71.3333333333,122,133,10,1.0,-1,-1,0.0,2709.199048,15439,56.0226586,37.70321912,563453.0,1517.76533346,0,0,0
2014-09-02,0.02,90.3333333333,70.6666666667,-1,-1,-1,0.0,-1,-1,0.0,2029.272571,13484,51.04289776,51.40907743,563849.0,1035.79952369,1,0,0
2014-09-03,0.187142857143,92.6666666667,71.0,-1,-1,-1,0.0,-1,-1,0.0,2299.449333,13444,50.81759948,40.21868492,564319.0,1168.52495229,2,0,0
2014-09-04,0.661071428571,82.6666666667,71.6666666667,-1,-1,-1,0.0,27,11,1.0,2919.879333,17090,53.32106516,42.74429491,564937.0,1556.91076174,3,0,0
2014-09-05,0.253461538462,89.3333333333,70.3333333333,-1,-1,-1,0.0,-1,-1,0.0,4620.554095,25299,51.03410809,41.65382031,565772.0,2358.0585712,4,3,1
2014-09-06,0.0064,91.3333333333,71.0,77,111,29,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,55,138,9,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,139,156,11,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,3,143,18,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,103,158,5,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,1,103,27,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,80,119,16,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,22,153,29,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,122,136,13,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,42,176,10,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,114,172,10,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,73,131,12,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,90,155,14,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,51,134,24,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,137,174,0,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,133,73,15,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,92,108,12,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,37,11,0,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,165,124,29,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,17,132,25,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,191,81,10,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-06,0.0064,91.3333333333,71.0,68,184,7,1.0,-1,-1,0.0,4536.027714,24993,52.28646352,38.97091186,566583.0,2371.72847594,5,3,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,1,19,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,12,31,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,4,29,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,3,5,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,26,8,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,9,13,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,24,7,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,6,2,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,23,14,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,30,15,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,16,18,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
2014-09-07,0.113461538462,90.0,71.0,-1,-1,-1,0.0,17,28,1.0,4015.106286,20522,49.58767622,38.94357275,567317.0,1990.99790499,6,2,1
