
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
196,3,Sep 13 2014,8:00 PM,Sat,(4) Oklahoma,34,,Tennessee,10,ABC,
199,3,Sep 13 2014,2:00 PM,Sat,(2) Oregon,48,,Wyoming,14,Pac-12 Network,
202,3,Sep 13 2014,3:30 PM,Sat,(24) South Carolina,38,,(6) Georgia,35,CBS,
203,3,Sep 13 2014,5:00 PM,Sat,(15) Stanford,35,,Army,0,Pac-12 Network,
205,3,Sep 13 2014,9:00 PM,Sat,(7) Texas A&amp;M,38,,Rice,10,ESPN 2,
209,3,Sep 13 2014,8:00 PM,Sat,(12) UCLA,20,,Texas,17,FOX,AT&amp;T Stadium - Arlington TX
212,3,Sep 13 2014,12:30 PM,Sat,Virginia,23,,(21) Louisville,21,ACC Network ESPN3.com,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
217,4,Sep 18 2014,7:30 PM,Thu,(5) Auburn,20,@,(20) Kansas State,14,ESPN,
219,4,Sep 20 2014,3:30 PM,Sat,(3) Alabama,42,,Florida,21,CBS,
225,4,Sep 20 2014,3:30 PM,Sat,(21) Brigham Young,41,,Virginia,33,ESPN,
232,4,Sep 20 2014,8:25 PM,Sat,(1) Florida State,23,,(22) Clemson,17,ABC,
234,4,Sep 20 2014,12:00 PM,Sat,(13) Georgia,66,,Troy,0,SEC Network,
239,4,Sep 20 2014,4:00 PM,Sat,Indiana,31,@,(18) Missouri,27,SEC Network,
246,4,Sep 20 2014,12:00 PM,Sat,(11) Michigan State,73,,Eastern Michigan,14,Big Ten Network,
248,4,Sep 20 2014,7:00 PM,Sat,Mississippi State,34,@,(8) Louisiana State,29,ESPN,
249,4,Sep 20 2014,8:00 PM,Sat,(24) Nebraska,41,,Miami (FL),31,ESPN 2,
256,4,Sep 20 2014,7:30 PM,Sat,(4) Oklahoma,45,@,West Virginia,33,FOX,
258,4,Sep 20 2014,10:36 PM,Sat,(2) Oregon,38,@,Washington State,31,ESPN,
263,4,Sep 20 2014,7:30 PM,Sat,(14) South Carolina,48,@,Vanderbilt,34,SEC Network,
