
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
775,14,Nov 28 2014,12:00 PM,Fri,Western Kentucky,67,@,(19) Marshall,66,FS1,
776,14,Nov 29 2014,7:45 PM,Sat,(2) Alabama,55,,(15) Auburn,44,ESPN,
780,14,Nov 29 2014,3:30 PM,Sat,(5) Baylor,48,,Texas Tech,46,ABC (ESPN 2 mirror),AT&amp;T Stadium - Arlington TX
781,14,Nov 29 2014,10:15 PM,Sat,(25) Boise State,50,,Utah State,19,ESPN 2,
785,14,Nov 29 2014,12:00 PM,Sat,(23) Clemson,35,,South Carolina,17,ESPN,
787,14,Nov 29 2014,3:30 PM,Sat,(1) Florida State,24,,Florida,19,ESPN,
790,14,Nov 29 2014,12:00 PM,Sat,(16) Georgia Tech,30,@,(8) Georgia,24,SEC Network,
793,14,Nov 29 2014,4:00 PM,Sat,(11) Kansas State,51,,Kansas,13,FS1,
796,14,Nov 29 2014,12:00 PM,Sat,(24) Louisville,44,,Kentucky,40,ESPN 2,
798,14,Nov 29 2014,3:30 PM,Sat,(10) Michigan State,34,@,Penn State,10,ABC (ESPN 2 mirror),
799,14,Nov 29 2014,3:30 PM,Sat,(18) Mississippi,31,,(4) Mississippi State,17,CBS,
803,14,Nov 29 2014,12:00 PM,Sat,(7) Ohio State,42,,Michigan,28,ABC,
805,14,Nov 29 2014,8:00 PM,Sat,(3) Oregon,47,@,Oregon State,19,ABC,
817,14,Nov 29 2014,3:30 PM,Sat,(14) Wisconsin,34,,(22) Minnesota,24,Big Ten Network,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
820,15,Dec 5 2014,9:00 PM,Fri,(3) Oregon,51,,(8) Arizona,13,FOX,Pac-12 Championship - Levi`s Stadium - Santa Clara CA
821,15,Dec 6 2014,4:00 PM,Sat,(1) Alabama,42,,(14) Missouri,13,CBS,SEC Championship - Georgia Dome - Atlanta GA
822,15,Dec 6 2014,7:45 PM,Sat,(5) Baylor,38,,(9) Kansas State,27,ESPN,
823,15,Dec 6 2014,10:00 PM,Sat,(22) Boise State,28,,Fresno State,14,CBS,
825,15,Dec 6 2014,8:00 PM,Sat,(2) Florida State,37,,(12) Georgia Tech,35,ABC,ACC Championship - Bank of America Stadium - Charlotte NC
827,15,Dec 6 2014,8:17 PM,Sat,(6) Ohio State,59,,(11) Wisconsin,0,FOX,Big Ten Championship - Lucas Oil Stadium - Indianapolis IN
828,15,Dec 6 2014,3:30 PM,Sat,Oklahoma State,38,@,(18) Oklahoma,35,FS1,
831,15,Dec 6 2014,12:00 PM,Sat,(4) Texas Christian,55,,Iowa State,3,ABC,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
836,17,Dec 20 2014,3:30 PM,Sat,(23) Utah,45,,Colorado State,10,ABC,Royal Purple Las Vegas Bowl - Sam Boyd Stadium Las Vegas NV
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
846,18,Dec 27 2014,2:10 PM,Sat,(15) Arizona State,36,,Duke,31,CBS,Hyundai Sun Bowl - Sun Bowl Stadium El Paso TX
849,18,Dec 27 2014,8:00 PM,Sat,(24) Southern California,45,,(25) Nebraska,42,ESPN,National University Holiday Bowl - Qualcomm Stadium San Diego CA
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
852,19,Dec 29 2014,5:30 PM,Mon,(18) Clemson,40,,Oklahoma,6,ESPN,Russell Athletic Bowl - Florida Citrus Bowl - Orlando FL
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
854,20,Dec 30 2014,6:45 PM,Tue,(13) Georgia,37,,(20) Louisville,14,ESPN,Belk Bowl - Bank of America Stadium Charlotte NC
855,20,Dec 30 2014,3:00 PM,Tue,Notre Dame,31,,(22) Louisiana State,28,ESPN,Franklin American Mortgage Music City Bowl - LP Field Nashville TN
857,20,Dec 31 2014,4:00 PM,Wed,(21) Boise State,38,,(12) Arizona,30,ESPN,Fiesta Bowl - University of Phoenix Stadium - Glendale AZ
858,20,Dec 31 2014,8:00 PM,Wed,(10) Georgia Tech,49,,(8) Mississippi State,34,ESPN,Orange Bowl - Sun Life Stadium - Miami Gardens FL
859,20,Dec 31 2014,12:30 PM,Wed,(6) Texas Christian,42,,(9) Mississippi,3,ESPN,Chick-fil-A Peach Bowl - Georgia Dome - Atlanta GA
860,20,Jan 1 2015,12:30 PM,Thu,(7) Michigan State,42,,(4) Baylor,41,ESPN,Goodyear Cotton Bowl Classic - AT&amp;T Stadium - Arlington TX
861,20,Jan 1 2015,1:00 PM,Thu,(16) Missouri,33,,Minnesota,17,ABC,Buffalo Wild Wings Citrus Bowl - Florida Citrus Bowl - Orlando FL
862,20,Jan 1 2015,9:00 PM,Thu,(5) Ohio State,42,,(1) Alabama,35,ESPN,Allstate Sugar Bowl - Mercedes-Benz Superdome - New Orleans LA
863,20,Jan 1 2015,5:00 PM,Thu,(3) Oregon,59,,(2) Florida State,20,ESPN,Rose Bowl - Rose Bowl - Pasadena CA
864,20,Jan 1 2015,12:00 PM,Thu,(17) Wisconsin,34,,(19) Auburn,31,ESPN 2,Outback Bowl - Raymond James Stadium Tampa FL
868,20,Jan 2 2015,6:45 PM,Fri,(14) UCLA,40,,(11) Kansas State,35,ESPN,Valero Alamo Bowl - Alamodome San Antonio TX
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
871,21,Jan 12 2015,8:30 PM,Mon,(5) Ohio State,42,,(3) Oregon,20,ESPN,College Football Championship - AT&amp;T Stadium - Arlington TX
