Date,PSA Sales,Orders,Online Sls %,Carryout %,Papa Rewards Customer Enrollments
2014-03-29,4270.892885,22131,48.397885,38.29018119,496756
2014-03-30,2866.689135,15345,50.09820194,38.24698599,497135
2014-03-31,1898.935673,10925,49.80311086,39.75286041,497358
2014-04-01,2334.388846,15107,47.51829708,50.77778513,497755
2014-04-02,2271.860096,12903,46.65409508,41.52522669,498057
2014-04-03,2669.739519,14738,46.76601084,40.63644999,498403
2014-04-04,4590.531731,24215,48.73078429,40.08672311,499054
2014-04-05,3969.098173,21152,47.54561205,38.72919818,499644
2014-04-06,3299.470096,18263,55.31824764,37.80868422,500269
2014-04-07,2485.311058,14282,53.71213981,36.81557205,500687
2014-04-08,2209.648269,14489,48.11761287,51.89454069,501077
2014-04-09,2185.239038,12639,48.53262401,39.29108316,501358
2014-04-10,2429.024038,13680,47.75301888,39.87573099,501637
2014-04-11,4095.088558,21649,47.72061729,40.21894776,502155
2014-04-12,3897.352308,21108,49.08920662,38.705704,502747
2014-04-13,2857.721442,16129,53.36888389,38.62607725,503191
2014-04-14,1991.94875,12133,53.63209501,40.74013022,503575
2014-04-15,2540.015865,16603,51.99793006,50.99680781,504122
2014-04-16,2280.159135,12727,47.8578608,41.11730966,504496
2014-04-17,2673.731346,14673,47.10924369,40.10086554,504879
2014-04-18,5227.937692,27662,51.75436144,38.55831104,505713
2014-04-19,3896.747596,21645,48.92081969,40.71610072,506347
2014-04-20,2103.954231,12245,51.69113342,40.37566354,506672
2014-04-21,1632.736346,9759,50.55409577,40.33200123,506959
2014-04-22,2210.043269,14302,48.20444257,52.85274787,507349
2014-04-23,2139.387404,11877,48.48021511,41.50879852,507663
2014-04-24,2463.000385,13442,46.67322189,40.56687993,507992
2014-04-25,4498.539327,23276,46.98663406,40.82746176,508548
2014-04-26,4109.336058,21129,46.51172243,37.8295234,509043
2014-04-27,3003.804808,16171,52.84350585,37.02924989,509512
2014-04-28,1882.394231,10996,50.40064055,40.22371772,509804
2014-04-29,2378.026538,14971,47.38159178,52.40798878,510190
2014-04-30,2468.964808,13705,49.18291822,41.37905874,510609
2014-05-01,2663.213558,14507,45.75921708,40.60108913,510982
2014-05-02,4728.848846,24344,46.52072789,40.81087742,511552
2014-05-03,4307.655481,22178,46.30371282,38.538191,512074
2014-05-04,2791.65,15213,49.20235345,37.78347466,512449
2014-05-05,1727.978365,10047,47.44513862,39.52423609,512676
2014-05-06,2284.884904,14134,44.19753848,51.34427621,512990
2014-05-07,2230.25625,12489,47.52290667,41.12418929,513304
2014-05-08,2702.718558,14763,48.10069263,40.92664093,513721
2014-05-09,5059.014808,26133,49.38512656,39.7352007,514427
2014-05-10,3844.877115,20649,48.0512131,39.57576638,515041
2014-05-11,2713.241154,13777,47.88567165,40.1974305,515429
2014-05-12,1808.89125,10523,47.30778825,41.36653046,515688
2014-05-13,2175.511154,13481,45.00871944,51.60596395,515985
2014-05-14,2534.341058,13982,46.2674659,39.45787441,516342
2014-05-15,2629.565385,14224,45.80540145,41.03627672,516690
2014-05-16,4511.313558,22762,46.15539338,40.67305158,517244
2014-05-17,4039.046923,20928,47.72068753,39.5594419,517803
2014-05-18,3088.741154,16532,51.82112093,36.69852407,518334
2014-05-19,2029.165962,11601,50.21166332,41.92742005,518682
2014-05-20,2445.933558,15059,47.31712671,51.05252673,519075
2014-05-21,2518.918365,13343,44.0289103,41.55737091,519359
2014-05-22,2966.251442,14995,43.02568818,40.68689563,519676
2014-05-23,4516.843365,22491,45.79972258,39.88261971,520200
2014-05-24,3515.464615,18833,46.41863183,41.11400202,520579
2014-05-25,2712.130385,14651,48.70180467,38.87789229,520896
2014-05-26,2596.743942,14751,56.0134128,38.26181276,521361
2014-05-27,2264.759904,14203,48.49117772,48.60240794,521728
2014-05-28,2358.497885,13363,47.78909148,39.99101998,522034
2014-05-29,2632.915096,14560,48.2517933,40.69368132,522359
2014-05-30,4825.099135,25308,47.76115102,39.84905959,523034
2014-05-31,4120.143942,21576,46.69211636,38.40841676,523534
2014-06-01,2974.003558,16516,52.34875534,40.36691693,524020
2014-06-02,2049.580769,11827,47.97779471,40.65274372,524328
2014-06-03,2422.479808,15247,46.35034268,50.19348068,524686
2014-06-04,2422.327404,13738,47.21190146,40.39889358,525028
2014-06-05,2873.177115,15804,47.669094,39.16729942,525411
2014-06-06,4454.276923,23499,46.98751502,40.49959573,526023
2014-06-07,3792.169712,20068,46.99484375,38.76818816,526498
2014-06-08,2903.83375,15775,49.83327578,38.54199683,526916
2014-06-09,2022.722692,11830,48.79318223,40.61707523,527197
2014-06-10,2663.718365,16451,47.92740021,49.59576925,527598
2014-06-11,2472.436154,14349,50.92739036,42.71377796,527994
2014-06-12,2752.86,15072,46.18548458,41.99840764,528331
2014-06-13,4568.480962,23889,48.19320308,42.00259534,528832
2014-06-14,3690.147596,19537,47.58392117,39.61713671,529250
2014-06-15,2679.237692,14863,52.84365114,40.41579762,529665
2014-06-16,2304.127212,13232,54.25958678,39.25332527,530018
2014-06-17,2437.723269,15013,49.83490664,48.99087458,530419
2014-06-18,2328.294808,12807,48.69951458,39.86101351,530758
2014-06-19,2609.498077,14554,47.51551838,40.46310293,531138
2014-06-20,4210.330385,21912,49.85423673,40.50292077,531723
2014-06-21,3972.051058,21104,49.85505333,39.70811221,532303
2014-06-22,2874.841635,15306,53.14024154,37.14883052,532684
2014-06-23,2012.923846,11605,50.85708657,39.37957777,532968
2014-06-24,2277.436731,14315,48.51232885,49.88473629,533314
2014-06-25,2215.794231,12469,47.77911289,41.06183335,533625
2014-06-26,2886.47,15103,50.49242674,39.32331325,534019
2014-06-27,4196.064135,21906,49.83874884,40.43641012,534587
2014-06-28,3818.348365,19935,49.27839446,38.23927765,535149
2014-06-29,3031.550385,16837,55.84268826,39.88834115,535680
2014-06-30,2176.020962,12570,50.37931355,37.97136038,536028
2014-07-01,2664.533462,16518,46.61361918,47.91742342,536386
2014-07-02,2511.915962,14420,47.68993757,40.38834951,536760
2014-07-03,3322.835,17931,47.39883552,39.59065306,537179
2014-07-04,2544.499135,13325,43.34382945,39.8424015,537474
2014-07-05,2975.463365,16539,49.18532243,38.99873027,537843
2014-07-06,2860.733365,16492,55.59458984,40.04972108,538289
2014-07-07,1956.583846,11714,49.64209598,40.17415059,538572
2014-07-08,2277.119135,14425,47.40187701,48.97746967,538906
2014-07-09,2262.294904,13050,49.22546953,40.98850575,539205
2014-07-10,2476.277115,14006,48.62978629,40.06140226,539517
2014-07-11,4191.542981,22355,50.4868606,39.45426079,540105
2014-07-12,3603.150673,19275,48.89753404,39.10246433,540547
2014-07-13,2915.542788,16318,54.12098189,39.34305675,540975
2014-07-14,2079.687981,12174,52.78377789,40.36471168,541334
2014-07-15,2413.926058,15082,47.82354042,49.49608805,541679
2014-07-16,2243.837596,12696,48.65812181,40.50882168,542013
2014-07-17,2447.594038,13444,49.1721855,40.3600119,542341
2014-07-18,4056.899904,21210,48.67206887,41.145686,542864
2014-07-19,3514.466538,19244,51.39014697,39.47204323,543443
2014-07-20,2573.570577,14213,52.78474601,37.2264828,543844
2014-07-21,1907.664615,11323,53.46878019,40.77541288,544186
2014-07-22,2172.530481,13508,47.31914224,50.66627184,544449
2014-07-23,2237.253942,12407,48.18751233,40.21923108,544812
2014-07-24,2657.332788,14724,51.80937827,40.64792176,545232
2014-07-25,3867.495865,20364,47.69631672,40.0658024,545791
2014-07-26,3501.47875,19092,47.30091921,41.26859418,546307
2014-07-27,2637.1675,14365,50.79867159,39.0810999,546685
2014-07-28,2069.444381,12310,52.69614121,41.16165719,547039
2014-07-29,2389.184476,14858,47.84655151,50.83456724,547358
2014-07-30,2419.991905,13576,48.15241216,41.8017089,547721
